philo/D:phihi/D:sector1/I:sector2/I:sector3/I:sector4/I
0	22.5	15	0	7	8
22.5	45	14	1	6	9
45	67.5	13	2	5	10
67.5	90	12	3	4	11
90	112.5	11	4	3	12
112.5	135	10	5	2	13
135	157.5	9	6	1	14
157.5	180	8	7	0	15
180	202.5	7	8	15	0
202.5	225	6	9	14	1
225	247.5	5	10	13	2
247.5	270	4	11	12	3
270	292.5	3	12	11	4
292.5	315	2	13	10	5
315	337.5	1	14	9	6
337.5	360	0	15	8	7
